mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Mayo,Martes,12,Chiquimula,99,Hombre,28,No Ebrio,Ignorado,Ignorado,9999,Caida,2010
Noviembre,Martes,12,Sacatepequez,99,Hombre,33,Ignorado,Camion,Amarillo,9999,Choque,2010
Junio,Miercoles,12,Chimaltenango,99,Hombre,32,No Ebrio,Camion,Azul,1997,"Derrumbe, Deslave, Erupción volcanica",2010
Julio,Martes,12,Quetzaltenango,99,Hombre,32,No Ebrio,Ignorado,Rojo,1995,Choque,2010
Julio,Sabado,12,Chimaltenango,99,Hombre,28,Ignorado,Pick-up,Blanco,9999,Choque,2010
Noviembre,Domingo,13,Baja Verapaz,99,Hombre,22,Ignorado,Motocicleta,Corinto,9999,Colision,2010
Octubre,Jueves,13,Zacapa,99,Hombre,51,Ignorado,Motocicleta,Blanco,2010,Colision,2010
Enero,Domingo,13,Santa Rosa,99,Hombre,32,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Enero,Viernes,13,Zacapa,99,Hombre,999,Ebrio,Automovil,Ignorado,9999,Choque,2010
Abril,Domingo,13,Guatemala,99,Ignorado,999,Ignorado,Pick-up,Gris,9999,Vuelco,2010
Enero,Domingo,13,Alta Verapaz,99,Ignorado,999,Ignorado,Camion,Blanco,9999,Vuelco,2010
Octubre,Sabado,14,Guatemala,99,Hombre,27,Ebrio,Motocicleta,Blanco,9999,Colision,2010
