"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2017,2,"19","18:00 a 23:59","Noche","Septiembre","Sábado","Escuintla","Escuintla","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Motocicleta","Ignorado","Rojo","Ignorado","Ignorado","Colisión","2017"
2017,2,"19","18:00 a 23:59","Noche","Septiembre","Sábado","Escuintla","Escuintla","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Pick up","Ignorado","Corinto","Ignorado","Ignorado","Colisión","2017"
2017,2,"12","12:00 a 17:59","Tarde","Septiembre","Sábado","Quetzaltenango","Quetzaltenango","Ignorada","Hombre","22","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Ignorado","Negro","Ignorado","Ignorado","Colisión","2017"
2017,2,"12","12:00 a 17:59","Tarde","Septiembre","Sábado","Quetzaltenango","Quetzaltenango","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Camioneta","Honda","Negro","Ignorado","Ignorado","Colisión","2017"
2017,2,"1","00:00 a 05:59","Mañana","Septiembre","Sábado","San Pedro Sacatepéquez","Guatemala","Ignorada","Hombre","25","25-29","25-29","25 - 29 ","Ignorado","Mayor","Automóvil","Mazda","Rojo","Ignorado","Ignorado","Vuelco","2017"
2017,3,"19","18:00 a 23:59","Noche","Septiembre","Domingo","Guatemala","Guatemala","1","Hombre","36","35-39","35-39","35 - 39 ","Ignorado","Mayor","Automóvil","Mazda","Gris","2002","2000-2009","Choque","2017"
2017,3,"23","18:00 a 23:59","Noche","Septiembre","Domingo","Guatemala","Guatemala","18","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Automóvil","Mitsubishi","Blanco","Ignorado","Ignorado","Choque","2017"
2017,3,"8","06:00 a 11:59","Mañana","Septiembre","Domingo","San José del Golfo","Guatemala","Ignorada","Hombre","30","30-34","30-34","30 - 34 ","Ebrio","Mayor","Automóvil","Ford","Verde","1995","1990-1999","Choque","2017"
2017,3,"14","12:00 a 17:59","Tarde","Septiembre","Domingo","Guatemala","Guatemala","6","Hombre","46","45-49","45-49","45 - 49 ","Ebrio","Mayor","Automóvil","Mazda","Rojo","1993","1990-1999","Colisión","2017"
2017,3,"14","12:00 a 17:59","Tarde","Septiembre","Domingo","Guatemala","Guatemala","6","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","No ebrio","Mayor","Automóvil","Toyota","Azul","1991","1990-1999","Colisión","2017"
2017,3,"15","12:00 a 17:59","Tarde","Septiembre","Domingo","Guatemala","Guatemala","18","Hombre","29","25-29","25-29","25 - 29 ","No ebrio","Mayor","Automóvil","Mitsubishi","Beige","2003","2000-2009","Colisión","2017"
2017,3,"15","12:00 a 17:59","Tarde","Septiembre","Domingo","Guatemala","Guatemala","18","Mujer","26","25-29","25-29","25 - 29 ","No ebrio","Mayor","Motocicleta","Freedom","Negro","2014","2010-2018","Colisión","2017"
2017,3,"5","00:00 a 05:59","Mañana","Septiembre","Domingo","Guatemala","Guatemala","5","Mujer","35","35-39","35-39","35 - 39 ","Ignorado","Mayor","Automóvil","Honda","Gris","2008","2000-2009","Colisión","2017"
2017,3,"5","00:00 a 05:59","Mañana","Septiembre","Domingo","Guatemala","Guatemala","5","Hombre","25","25-29","25-29","25 - 29 ","Ignorado","Mayor","Automóvil","Honda","Gris","2008","2000-2009","Colisión","2017"
2017,3,"3","00:00 a 05:59","Mañana","Septiembre","Domingo","Guatemala","Guatemala","5","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,3,"3","00:00 a 05:59","Mañana","Septiembre","Domingo","Guatemala","Guatemala","5","Hombre","39","35-39","35-39","35 - 39 ","No ebrio","Mayor","Automóvil","Mazda","Gris","Ignorado","Ignorado","Colisión","2017"
